window	context	chr	Average_Methylation	CI_low	CI_high	sex	Allele
6	CG	X	0.85517379145026	0.845118121608039	0.864813328582398	Male	X in male
15	CG	X	0.824112104373037	0.812165023468136	0.835599827653224	Male	X in male
18	CG	X	0.846687211093991	0.834983027831724	0.857868509379564	Male	X in male
32	CG	X	0.833119981380193	0.82506544375251	0.840947963814719	Male	X in male
49	CG	X	0.686340263805053	0.672512924652397	0.699923914810719	Male	X in male
54	CG	X	0.730854271356784	0.718296422460763	0.74314069633593	Male	X in male
50	CG	X	0.708687863860278	0.695116611046282	0.721985711471131	Male	X in male
2	CG	Y	0.930671506352087	0.923642848476814	0.937239774654647	Male	Y in male
9	CG	Y	0.837733310913066	0.828113463520051	0.847020605221283	Male	Y in male
10	CG	Y	0.631800816756686	0.620835978836338	0.642664360356958	Male	Y in male
19	CG	Y	0.825435646591257	0.816016356558183	0.834563881763264	Male	Y in male
22	CG	Y	0.353842142996806	0.346271841543562	0.36146789623994	Male	Y in male
25	CG	Y	0.736410621992515	0.728153926145791	0.744544504514883	Male	Y in male
27	CG	Y	0.798077847188852	0.790233526674454	0.805754994695863	Male	Y in male
28	CG	Y	0.844907618094111	0.838002101205383	0.851629825377199	Male	Y in male
31	CG	Y	0.851876959579697	0.845338894348837	0.858240934832606	Male	Y in male
32	CG	Y	0.858001426097586	0.850939620546466	0.864850108431514	Male	Y in male
33	CG	Y	0.862483994878361	0.85611490213963	0.868672378552799	Male	Y in male
34	CG	Y	0.855936540429888	0.849449208018692	0.862246595175003	Male	Y in male
35	CG	Y	0.828441835645678	0.821344316722351	0.835368861533712	Male	Y in male
36	CG	Y	0.828192640692641	0.821040482547331	0.835172029313785	Male	Y in male
37	CG	Y	0.779940119760479	0.772426238618384	0.78731824655372	Male	Y in male
38	CG	Y	0.796563192904656	0.789434505051726	0.803554938895924	Male	Y in male
39	CG	Y	0.736270368135184	0.728679952781844	0.743756933851039	Male	Y in male
40	CG	Y	0.56232706633558	0.554089408213982	0.570538983453483	Male	Y in male
41	CG	Y	0.612862723214286	0.601472699458975	0.62416087582701	Male	Y in male
42	CG	Y	0.70649771622219	0.69550342506368	0.717314340065309	Male	Y in male
43	CG	Y	0.718789944610141	0.708128411205691	0.72927003305171	Male	Y in male
44	CG	Y	0.731451269683643	0.720939624178004	0.741771164439205	Male	Y in male
45	CG	Y	0.760635280771412	0.750498945502447	0.770555704741715	Male	Y in male
46	CG	Y	0.79088471849866	0.780957287363054	0.800558874201924	Male	Y in male
47	CG	Y	0.769396551724138	0.75931719282578	0.779249750819657	Male	Y in male
51	CG	Y	0.800522268968519	0.79088986499839	0.809899788520145	Male	Y in male
54	CG	Y	0.834309895833333	0.824773500856319	0.843527751498336	Male	Y in male
55	CG	Y	0.852833783140181	0.843842400574238	0.861497111092375	Male	Y in male
56	CG	Y	0.890357698289269	0.882465332189931	0.897894002344877	Male	Y in male
57	CG	Y	0.863431151241535	0.855216864831436	0.871345233476139	Male	Y in male
58	CG	Y	0.872727272727273	0.864481373272614	0.880645023521053	Male	Y in male
59	CG	Y	0.868170122597245	0.859774334849415	0.876239464290282	Male	Y in male
60	CG	Y	0.868878609028553	0.860271693955969	0.877140699245228	Male	Y in male
1	CG	Y	0.918632075471698	0.911385170961451	0.925464326175939	Male	Y in male
3	CG	Y	0.913117546848382	0.905981976880892	0.919877341391262	Male	Y in male
4	CG	Y	0.911068076865783	0.904004563980614	0.917772089093697	Male	Y in male
5	CG	Y	0.888249400479616	0.880179980256645	0.895954749778483	Male	Y in male
6	CG	Y	0.907454200884397	0.900048407792264	0.914482156944095	Male	Y in male
7	CG	Y	0.901029055690073	0.893575355839116	0.908126660534181	Male	Y in male
8	CG	Y	0.902576891105569	0.894803502338684	0.909957280921302	Male	Y in male
11	CG	Y	0.565780183572605	0.555162039354177	0.576353196674869	Male	Y in male
12	CG	Y	0.836818649297223	0.82708268012015	0.846216514795963	Male	Y in male
13	CG	Y	0.883825306404281	0.875293525227509	0.891968356428904	Male	Y in male
14	CG	Y	0.84441444481944	0.834932409730656	0.853556071382686	Male	Y in male
15	CG	Y	0.872554660529344	0.864487434337973	0.880307984321233	Male	Y in male
16	CG	Y	0.854510613207547	0.845894317849708	0.862820969256239	Male	Y in male
18	CG	Y	0.855313700384123	0.846871391474895	0.863460114336142	Male	Y in male
20	CG	Y	0.53086592178771	0.519226167706359	0.542480527459498	Male	Y in male
21	CG	Y	0.133799459717146	0.12897345737532	0.138738546877968	Male	Y in male
23	CG	Y	0.536734214850168	0.528042642858082	0.545409051836789	Male	Y in male
24	CG	Y	0.686411149825784	0.677940530357885	0.694789462943336	Male	Y in male
26	CG	Y	0.785374180217411	0.777627999720012	0.792970816519766	Male	Y in male
29	CG	Y	0.835712361971452	0.828698865872321	0.842549915856929	Male	Y in male
30	CG	Y	0.821215009966202	0.814099625835187	0.828167953770321	Male	Y in male
48	CG	Y	0.772463768115942	0.762385219280868	0.782311573802877	Male	Y in male
49	CG	Y	0.770682790148946	0.760487911970691	0.780644398146061	Male	Y in male
50	CG	Y	0.776943531988112	0.766535563561889	0.787098255803816	Male	Y in male
52	CG	Y	0.833746078916956	0.824127242338705	0.84304232562524	Male	Y in male
53	CG	Y	0.845988063660477	0.836629044568713	0.855011145531984	Male	Y in male
17	CG	Y	0.856822639394789	0.848481572172977	0.864871102708783	Male	Y in male
1	CHG	X	0.477359289039357	0.46303068628255	0.491715886949324	Male	X in male
2	CHG	X	0.488383008683408	0.473269206971613	0.503512749880204	Male	X in male
3	CHG	X	0.534952606635071	0.52109954645558	0.548765344619196	Male	X in male
4	CHG	X	0.531185884283956	0.517058435434123	0.545275947691094	Male	X in male
7	CHG	X	0.487468383536445	0.472510557055521	0.502443054901846	Male	X in male
8	CHG	X	0.417982155113246	0.405277118991845	0.430769364328538	Male	X in male
9	CHG	X	0.547879095758192	0.532174791907597	0.563512268620866	Male	X in male
10	CHG	X	0.53081876724931	0.515853643015599	0.545742454940756	Male	X in male
11	CHG	X	0.550985432733505	0.53432976200722	0.567555873088535	Male	X in male
12	CHG	X	0.587377279102384	0.571010359765607	0.603600752406549	Male	X in male
13	CHG	X	0.590577678070667	0.574229437264193	0.606777258740689	Male	X in male
14	CHG	X	0.622960206126539	0.606647418998357	0.63906691113958	Male	X in male
16	CHG	X	0.591433278418451	0.573698774451209	0.608991307660995	Male	X in male
17	CHG	X	0.639338731443995	0.621752012036991	0.656649954483244	Male	X in male
19	CHG	X	0.651851851851852	0.633989835596847	0.669399854825855	Male	X in male
20	CHG	X	0.265654648956357	0.251456404291328	0.280225089248534	Male	X in male
21	CHG	X	0.0361535993154348	0.0324613036959197	0.0401383928027527	Male	X in male
22	CHG	X	0.0421052631578947	0.0385637266322001	0.0458734088334681	Male	X in male
23	CHG	X	0.0593758383260306	0.0550662120569924	0.0639165855644917	Male	X in male
24	CHG	X	0.0829714078899747	0.0778939115663264	0.0882698366976502	Male	X in male
25	CHG	X	0.102547712537668	0.0969264117729931	0.108381306191413	Male	X in male
26	CHG	X	0.106912838127952	0.101356373407039	0.112666653782037	Male	X in male
